timestamp,active_connections
2026-07-30T14:14:50.9979626+05:30,5 
2026-07-30T14:14:59.6144272+05:30,5 
2026-07-30T14:15:06.9882448+05:30,5 
2026-07-30T14:15:13.2684351+05:30,5 
2026-07-30T14:15:19.9320121+05:30,5 
2026-07-30T14:15:26.7318859+05:30,5 
2026-07-30T14:15:33.2170851+05:30,5 
2026-07-30T14:15:39.6295374+05:30,5 
2026-07-30T14:15:45.9873134+05:30,5 
2026-07-30T14:15:52.1967616+05:30,5 
2026-07-30T14:15:58.4221114+05:30,5 
2026-07-30T14:16:04.7486668+05:30,5 
2026-07-30T14:16:11.1287900+05:30,5 
2026-07-30T14:16:17.5490243+05:30,5 
2026-07-30T14:16:23.6891868+05:30,5 
2026-07-30T14:16:30.0853184+05:30,5 
2026-07-30T14:16:36.5988529+05:30,5 
2026-07-30T14:16:43.2727801+05:30,5 
2026-07-30T14:16:49.6093372+05:30,5 
timestamp,active_connections
2026-07-30T14:17:28.3712048+05:30,5 
2026-07-30T14:17:34.6057217+05:30,21 
2026-07-30T14:17:42.7161019+05:30,23 
2026-07-30T14:17:49.5564461+05:30,22 
2026-07-30T14:17:57.8887926+05:30,33 
2026-07-30T14:18:07.2392755+05:30,33 
2026-07-30T14:18:15.6668243+05:30,33 
2026-07-30T14:18:24.1751625+05:30,33 
2026-07-30T14:18:32.8029801+05:30,33 
2026-07-30T14:18:42.0356392+05:30,31 
2026-07-30T14:18:53.3725077+05:30,33 
2026-07-30T14:19:01.4209227+05:30,33 
2026-07-30T14:19:14.0947474+05:30,13 
2026-07-30T14:19:24.2633536+05:30,14 
2026-07-30T14:19:37.4471677+05:30,33 
2026-07-30T14:19:45.8257691+05:30,33 
2026-07-30T14:19:56.0348266+05:30,13 
2026-07-30T14:20:09.9559689+05:30,13 
2026-07-30T14:20:19.3953461+05:30,14 
2026-07-30T14:20:31.5133348+05:30,13 
2026-07-30T14:20:41.2964523+05:30,33 
2026-07-30T14:20:50.9413746+05:30,21 
2026-07-30T14:20:59.0599291+05:30,17 
2026-07-30T14:21:08.7042353+05:30,13 
2026-07-30T14:21:16.0345110+05:30,33 
2026-07-30T14:21:24.9808024+05:30,13 
2026-07-30T14:21:32.9878046+05:30,13 
2026-07-30T14:21:40.8356892+05:30,21 
2026-07-30T14:21:48.0495571+05:30,14 
2026-07-30T14:21:56.2756575+05:30,34 
2026-07-30T14:22:04.2556130+05:30,13 
2026-07-30T14:22:12.7871928+05:30,18 
2026-07-30T14:22:20.3238590+05:30,33 
2026-07-30T14:22:28.8475880+05:30,14 
2026-07-30T14:22:38.2870789+05:30,14 
2026-07-30T14:22:48.3295909+05:30,13 
2026-07-30T14:22:58.4887740+05:30,33 
2026-07-30T14:23:07.9883977+05:30,33 
2026-07-30T14:23:15.4156377+05:30,15 
2026-07-30T14:23:22.6520562+05:30,19 
2026-07-30T14:23:33.7759788+05:30,18 
2026-07-30T14:23:43.7329643+05:30,33 
2026-07-30T14:23:54.7899292+05:30,30 
2026-07-30T14:24:03.9386925+05:30,31 
2026-07-30T14:24:14.5333681+05:30,28 
2026-07-30T14:24:23.7343203+05:30,17 
2026-07-30T14:24:33.2000010+05:30,13 
2026-07-30T14:24:45.8025308+05:30,13 
2026-07-30T14:24:58.3221917+05:30,33 
2026-07-30T14:25:08.3358756+05:30,27 
2026-07-30T14:25:22.1052469+05:30,30 
2026-07-30T14:25:31.9281952+05:30,17 
2026-07-30T14:25:41.7125592+05:30,14 
2026-07-30T14:25:51.0529816+05:30,14 
2026-07-30T14:26:01.1815377+05:30,33 
2026-07-30T14:26:11.9831647+05:30,33 
2026-07-30T14:26:19.8175669+05:30,29 
2026-07-30T14:26:28.6513396+05:30,13 
2026-07-30T14:26:41.5936203+05:30,14 
